"BENNER","ESTOQUE","ANAMNESE","MICRO","MONITO","MOUSE","ACESS","ERRO","IMPRESSORA","SIHOSP"
"0","0","0","0","0","0","1.26","0","0","0"
"0","0","0","0","0","0","3.19","0","0","3.19"
"0","0","0","0","0","0","1.26","0","0","0"
"0","0","0","0","0","0","1.18","0","0","1.18"
"8.16","0","0","0","0","0","0","0","0","0"
"0","0","0","2.86","0","0","2.86","0","0","0"
"0","0","0","9.24","0","0","0","0","0","0"
"0","0","0","9.21","0","0","0","0","0","0"
"0","0","0","4.17","0","0","0","0","0","4.17"
"0","0","0","8.99","0","0","8.99","0","0","0"
"2.18","0","0","0","0","0","0","0","0","0"
"0","0","0","1.02","0","0","0","0","0","0"
"1.92","0","0","0","0","0","1.92","0","0","0"
"0","0","0","0","0","0","0","0","0","7.72"
"0","0","0","0","0","0","0","0","0","9.31"
"8.27","0","0","0","0","0","8.27","0","0","0"
"0","0","0","0","0","0","6.21","0","0","0"
"0","0","0","0","0","0","8.24","0","0","0"
"0","0","0","0","0","0","6.02","0","0","0"
"0","0","0","5.85","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","1.11"
"0","0","0","0","0","0","11","0","0","0"
"2.91","0","0","0","0","0","0","0","0","0"
"6.89","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","6.89","0","0"
"0","0","0","0","0","0","0","8.02","0","0"
"5.17","0","0","0","0","0","5.17","0","0","0"
"1.23","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","7.84","0","0"
"0","0","0","5.96","0","0","5.96","0","0","0"
"0","0","0","0","0","0","0","1.98","0","0"
"0","0","0","6","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","4.59"
"0","0","0","0","0","2.1","0","0","0","0"
"0","0","0","0","0","0","0","0","1.79","0"
"0","0","0","0","0","0","0","0","1.09","0"
"0","0","0","0","0","0","4.92","0","0","0"
"0","0","0","3.2","0","0","0","0","0","0"
"0","0","0","3.27","0","0","0","0","0","0"
"0","0","0","2.16","0","0","0","0","0","0"
"6.92","0","0","0","0","0","0","0","0","0"
"0","0","0","0","3.18","0","0","0","0","0"
"0","0","0","2.77","0","2.77","0","0","0","0"
"2.76","0","0","0","0","0","0","0","0","0"
"0","0","0","1.04","0","0","0","0","0","0"
"2.75","0","0","0","0","0","0","0","0","0"
"0","0","0","0","1.19","0","0","0","0","0"
"0","0","0","3.21","0","0","0","0","0","0"
"0","0","0","0","0","0","3.66","0","0","0"
"0","0","0","0","3.86","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","10.76"
"0","0","0","3.15","0","0","0","0","3.15","0"
"0","0","0","0","0","0","0","1.06","0","0"
"0","0","0","0","0","0","0","1.14","0","0"
"0","0","0","0","2.86","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","4.02"
"0","0","0","4","0","0","0","0","0","0"
"0","0","0","0","0","0","0","5.19","0","0"
"0","0","0","0","0","0","0","1.1","0","0"
"0","0","0","0","0","0","0","0","1.08","0"
"0","0","0","0","1.03","0","0","0","0","0"
"0","0","0","0","0","0","4.92","0","0","0"
"0","0","0","1.07","0","0","0","0","0","0"
"0","0","0","0","0","0","3.2","0","0","0"
"8.91","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","6.2","0"
"0","0","0","0","0","2.02","0","0","0","0"
"0","0","0","0","1.35","0","0","0","0","0"
"0","0","0","5.89","0","0","0","0","0","0"
"0","0","0","0","5.92","0","0","0","0","0"
"8.99","0","0","0","0","0","0","0","0","0"
"3.66","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","1.26","0"
"0","0","0","0","0","0","0","0","1.3","0"
"0","0","0","1.98","0","0","0","0","0","0"
"0","0","0","2.07","0","0","0","0","0","0"
"4.58","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","1.79","0","0","0","0"
"0","0","0","0","0","0","7.89","0","0","7.89"
"0","0","0","0","3.03","0","0","0","0","0"
"0","0","0","0","3.16","0","0","0","0","0"
"0","0","0","0","0","0","0","0","6.15","0"
"0","0","0","0","0","0","3.01","0","0","0"
"0","0","0","0","0","0","7.04","0","0","0"
"0","0","0","2.98","0","2.98","0","0","0","0"
"0","0","0","0","0","0","2.68","0","0","0"
"0","0","0","0","0","0","0","0","4.03","0"
"0","0","0","0","0","0","1.91","0","0","0"
"0","0","0","0","0","0","0","0","1.21","0"
"0","0","0","0","0","0","0","1.76","0","0"
"6.2","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","1.18"
"0","0","0","0","1.32","0","0","0","0","0"
"0","0","0","0","0","1.31","0","0","0","0"
"8.22","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","8","0"
"0","0","0","1.14","0","0","0","0","0","0"
"0","0","0","7.05","0","0","0","7.05","0","0"
"5.07","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","1.07","0","0","1.07"
"0","0","0","2.26","0","0","0","0","0","0"
"5.1","0","0","0","0","0","0","0","0","0"
"0","0","0","2.04","0","0","0","0","0","0"
"0","0","0","0","0","0","0","3.99","0","0"
"0","0","0","0","0","0","0","3.96","0","0"
"4.09","0","0","0","0","0","4.09","0","0","0"
"0","0","0","1.08","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","4.23","0"
"0","0","0","0","0","0","0","0","3.8","0"
"0","0","0","0","0","0","0","5.95","0","0"
"0","5.76","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","5.25","0","0","0"
"1.95","0","0","0","0","0","0","0","0","0"
"0","0","0","1.25","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","4.29"
"0","0","0","1.04","0","0","0","0","0","0"
"0","0","0","0","0","0","1.17","0","0","0"
"0","0","0","0","9.93","0","0","0","0","0"
"0","0","0","0","0","0","3.74","0","0","3.74"
"0","0","0","0","0","0","0","1.25","0","0"
"0","0","0","0","0","0","1.25","0","0","0"
"3.77","0","0","0","0","0","0","3.77","0","0"
"0","4.89","0","0","0","0","0","4.89","0","0"
"0","0","0","10.04","0","0","0","0","0","0"
"0","0","0","6.27","0","0","0","0","0","0"
"0","0","0","5.26","0","0","0","0","0","0"
"0","0","0","6.77","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","1.23","0"
"0","0","0","0","0","0","0","0","0","5.95"
"0","0","0","0","0","0","0","5.71","0","0"
"4.05","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","9.28","0","0","0"
"7.11","0","0","0","0","0","7.11","0","0","0"
"0","0","0","0","0","0","0","3.86","0","3.86"
"0","0","0","0","0","0","0","7.01","0","0"
"0","0","0","0","0","0","0","0","0","9.19"
"0","0","0","0","0","0","6.07","0","0","0"
"0","0","0","7.28","0","0","0","0","0","0"
"0","0","0","0","0","0","8.14","0","0","0"
"0","0","0","0","6.04","0","0","0","0","0"
"1.96","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","8.81","0","0"
"0","0","0","0","0","0","1.83","0","0","0"
"0","0","0","0","0","0","0","0","8.8","0"
"0","0","0","3.35","0","0","0","0","0","0"
"0","0","0","5.04","0","5.04","0","0","0","0"
"10.29","0","0","0","0","0","0","0","0","0"
"0","0","0","7.11","0","0","0","0","0","0"
"0","0","0","11.14","0","0","0","0","0","0"
"4.62","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","3.3","0","0","0"
"0","0","0","0","0","0","0","0","0","3.1"
"0","0","0","0","0","0","2.74","0","0","0"
"4.33","4.33","0","0","0","0","0","4.33","0","0"
"0","0","0","3.15","0","0","0","0","0","0"
"3","0","0","0","0","0","0","0","0","0"
"0","0","0","6.31","0","0","0","0","0","0"
"0","0","0","0","0","0","3.02","0","0","0"
"0","0","0","3.08","0","0","0","0","0","0"
"4.73","0","0","0","0","0","0","0","0","0"
"0","0","0","1.37","0","0","0","0","0","0"
"0","0","0","0","0","0","1.07","0","0","0"
"2.16","0","0","0","0","0","0","0","0","0"
"0","0","0","1.19","0","0","0","0","0","0"
"0","0","0","3.13","0","0","0","0","0","0"
"0","0","0","10.25","0","0","0","0","0","0"
"0","0","0","0","6.87","0","0","0","0","0"
"0","0","0","0","0","0","0","3.08","0","0"
"0","0","0","0","0","0","0","0","2.27","0"
"0","0","0","1.04","0","0","0","0","0","0"
"0","0","0","9.98","0","0","0","0","0","0"
"0","0","0","2.02","0","0","0","0","0","0"
"0","0","0","6.16","0","0","0","0","0","0"
"0","0","0","0","3.14","0","0","0","0","0"
"2.21","0","0","0","0","0","0","0","0","0"
"3.2","0","0","0","0","0","0","3.2","0","0"
"0","0","0","0","0","0","0","0","5.16","0"
"0","0","0","0","0","0","6.04","0","0","0"
"0","0","0","0","0","0","2.94","0","0","2.94"
"0","0","0","11.08","0","0","0","0","0","0"
"0","0","0","5.3","0","0","0","0","0","0"
"2.34","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","3.75","0","0","3.75"
"0","0","0","9.17","0","0","0","0","0","0"
"0","0","0","0","0","0","3.69","0","0","0"
"0","0","0","0","0","0","2.26","0","0","0"
"0","0","0","0","0","0","0","6.15","0","0"
"0","0","0","1.08","0","0","1.08","0","0","1.08"
"0","0","0","1","0","0","0","0","1","0"
"0","0","0","0","0","0","0","1.58","0","0"
"0","0","5.12","0","0","0","0","0","0","5.12"
"0","0","0","0","2.26","0","0","0","0","0"
"0","0","0","0","0","0","0","0","6.14","0"
"0","0","0","0","0","0","0","0","6.11","0"
"0","0","0","6.89","0","0","0","0","0","0"
"0","0","0","1.3","0","0","0","0","0","0"
"0","0","0","0","0","0","8.12","0","0","0"
"1.23","0","0","0","0","0","0","0","0","0"
"4.81","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","2.18"
"2.19","0","0","0","0","0","2.19","0","0","0"
"0","0","0","2.84","0","0","0","0","2.84","0"
"0","3.76","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","2.16","0","0","2.16"
"0","0","0","1.1","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","6.04","0"
"3.92","0","0","0","0","0","0","0","0","0"
"4.91","0","0","0","0","0","0","0","0","0"
"0","0","0","4.99","0","4.99","0","0","0","0"
"0","0","0","3.71","0","0","0","0","0","0"
"0","0","0","0","0","0","3.91","0","0","3.91"
"1.86","0","0","0","0","0","0","1.86","0","0"
"0","0","0","0","2.02","0","0","0","0","0"
"0","0","0","0","0","0","0","1.4","0","0"
"3.94","0","0","0","0","0","3.94","0","0","0"
"0","0","0","0","0","0","0","1.04","0","0"
"3.14","0","0","0","0","0","3.14","0","0","0"
"0","0","0","0","0","0","6.03","0","0","6.03"
"0","0","0","0","0","0","4.04","0","0","0"
"0","0","0","0","0","0","2.84","0","0","0"
"0","0","0","0","0","0","5.97","0","0","0"
"0","0","0","0","0","0","0","0","3.82","0"
"0","0","0","0","0","0","0","2.17","0","0"
"0","0","0","0","0","3.74","0","0","0","0"
"0","4.95","0","0","0","0","0","4.95","0","0"
"0","0","0","0","0","0","0","0","6.35","0"
"0","0","0","0","6.2","0","0","0","0","0"
"0","0","0","0","6.13","0","0","0","0","0"
"2","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","1.8","0","0"
"0","0","0","4.12","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","4.03","0"
"0","0","0","0","0","0","0","0","0","3.95"
"0","0","0","0","0","0","10.79","10.79","0","0"
"7.06","0","0","0","0","0","0","0","0","0"
"2.96","0","0","0","0","0","0","0","0","0"
"0","0","0","4.95","0","0","0","0","0","0"
"0","0","0","3.32","0","0","0","0","0","0"
"0","0","0","0","0","0","2.99","0","0","0"
"0","0","0","0","0","0","0","2.7","2.7","0"
"7.87","0","0","0","0","0","0","0","0","0"
"1.02","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","1.99","0"
"0","0","0","0","0","0","6.06","0","0","0"
"0","0","0","0","0","0","0","2.96","0","0"
"2.81","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","1.05","0"
"5.95","0","0","0","0","0","0","0","0","0"
"1.88","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","1.05","0","0","0"
"0","0","0","0","0","0","0","7.13","0","0"
"0","0","0","0","0","0","0","4.81","0","0"
"0","0","0","2.04","0","0","0","0","0","0"
"0","0","0","0","0","0","0","1.11","0","0"
"0","0","0","0","2.01","0","0","0","0","0"
"1.08","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","4.91","0","0"
"1.91","0","0","0","0","0","0","1.91","0","0"
"0","0","0","0","0","0","2.95","0","0","0"
"2.99","0","0","0","0","0","2.99","0","0","0"
"0","0","0","0","0","0","1.05","0","0","0"
"0","0","0","0","2.03","0","0","0","0","0"
"0","0","0","0","0","0","2.32","0","0","0"
"0","0","0","3.88","0","0","0","0","0","0"
"0","0","0","0","0","0","0","2.02","0","0"
"0","0","0","0","0","0","2.94","0","0","0"
"0","0","0","3.18","0","0","0","0","0","0"
"0","0","0","0","0","0","0","4.95","0","0"
"0","0","0","6","0","0","0","0","0","0"
"0","0","0","1.13","0","0","0","0","0","0"
"0","0","0","1.09","0","0","0","0","0","0"
"0","0","0","0","2","0","0","0","0","0"
"4.22","0","0","0","0","0","0","4.22","0","0"
"0","0","0","0","0","0","8.17","0","0","0"
"0","0","0","1.25","1.25","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","8.06"
"0","0","0","0","0","0","0","3","0","0"
"0","0","0","0","0","0","0","3","0","0"
"0","0","0","0","0","0","2.44","0","0","0"
"0","0","0","0","0","0","0","0","1.05","0"
"0","0","0","2.86","0","2.86","0","0","0","0"
"0","0","0","0","0","0","2.9","0","0","0"
"0","0","0","3.02","0","0","0","0","3.02","0"
"0","0","0","0","0","0","0","1.95","0","0"
"0","0","0","0","0","0","0","3.78","0","0"
"0","0","0","0","0","0","0","0","0","11.03"
"0","0","0","2.91","0","0","0","0","0","0"
"0","0","0","3.79","0","0","0","0","0","0"
"0","0","0","0","7.03","0","0","0","0","0"
"1.03","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","2.71","0","0"
"0","0","0","0","0","0","5.29","0","0","5.29"
"0","0","0","0","0","0","0","2.72","0","0"
"0","0","0","0","0","0","0","2.71","0","0"
"0","0","0","0","0","0","1.04","0","0","0"
"0","0","0","6.01","0","0","0","0","0","0"
"0","0","0","0","0","0","9.12","0","0","0"
"8.26","8.26","0","0","0","0","0","0","0","0"
"0","0","0","1.13","0","0","0","0","0","0"
"0","0","0","4.16","0","0","0","0","0","0"
"0","0","0","0","0","0","0","3.02","0","3.02"
"5.19","0","0","0","0","0","0","0","0","0"
"0","0","0","10.08","0","10.08","0","0","0","0"
"0","0","0","0","0","0","0","3.75","0","0"
"0","0","0","0","0","5.1","0","0","0","0"
"0","0","0","2.07","0","0","0","0","0","0"
"0","0","0","0","0","0","0","3.69","0","0"
"0","0","0","0","0","0","4.22","0","0","0"
"0","0","0","0","0","0","0","0","1.04","0"
"0","0","0","0","0","7.29","0","0","0","0"
"0","0","0","1.07","0","0","0","0","0","0"
"0","0","0","0","0","0","0","3.15","0","0"
"2.83","0","0","0","0","0","2.83","0","0","0"
"0","0","0","2.75","0","0","2.75","0","0","0"
"0","0","0","0","0","0","0","6.81","0","0"
"0","0","0","6.97","0","6.97","0","0","0","0"
"0","0","0","0","0","0","1.29","0","0","0"
"0","0","0","8.01","0","0","0","0","0","0"
"0","0","0","0","0","0","1.04","0","0","0"
"0","0","0","0","0","0","0","5.02","0","0"
"0","0","0","0","0","0","0","2.96","0","0"
"0","0","0","0","0","0","6.06","0","0","0"
"0","0","0","7.07","0","0","0","0","0","0"
"0","0","0","0","0","0","2.71","0","0","0"
"3.43","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","3.21","0","0","0"
"0","0","0","5.28","0","0","0","0","0","0"
"1.12","0","0","0","0","0","1.12","0","0","0"
"0","0","0","0","0","0","0","0","0","3.32"
"0","0","1.98","0","0","0","0","0","0","0"
"0","0","0","0","0","0","1.05","1.05","0","0"
"0","0","0","1.99","0","0","0","0","0","0"
"0","0","0","0","0","0","1.27","0","0","0"
"0","0","0","0","0","0","0","0","2.05","0"
"0","0","0","0","1.2","0","0","0","0","0"
"0","0","0","1.18","0","0","0","0","0","0"
"0","0","0","0","0","0","0","2.09","0","0"
"0","0","0","0","0","0","0","3.18","0","0"
"0","0","0","0","0","0","2.93","0","0","0"
"4.23","0","0","0","0","0","0","0","0","0"
"1.27","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","1.22","0","0"
"0","0","0","1.72","0","0","0","0","0","0"
"0","0","0","0","0","0","2.26","0","0","0"
"0","0","0","0","0","0","0","3.23","0","0"
"2.7","0","0","0","0","0","2.7","0","0","0"
"0","0","0","0","1.03","0","0","0","0","0"
"0","0","0","0","0","0","5.98","0","0","0"
"0","0","0","2.06","0","0","0","0","0","0"
"0","0","0","0","0","0","0","1.17","0","0"
"0","0","0","0","0","0","0","5.91","0","0"
"0","0","0","1.12","0","0","0","0","0","0"
"0","0","0","0","0","0","0","5.98","0","0"
"1.69","0","0","0","0","0","0","0","0","0"
"1.01","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","1.21","0","0","0"
"0","1","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","7.34","7.34","0","0"
"0","0","0","0","0","0","0","11.67","0","0"
"0","0","0","0","0","0","0","4.96","0","0"
"1.16","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","2.73","0","0"
"4.22","0","0","0","0","0","0","4.22","0","0"
"0","0","0","0","0","0","2.95","0","0","2.95"
"0","0","0","7.99","0","0","0","0","0","0"
"0","0","0","0","0","0","1.15","0","0","0"
"0","0","0","6.28","0","0","0","0","0","0"
"0","3.19","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","2.82","0","0","0"
"0","0","0","0","0","0","0","0","2.89","0"
"3.72","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","1.01","0","0","0"
"3.77","0","0","0","0","0","0","0","0","3.77"
"0","0","0","0","0","0","0","1.89","0","0"
"0","0","0","0","0","0","0","10.01","0","0"
"0","0","0","0","0","0","1.93","0","0","0"
"0","0","0","0","0","0","0","8.01","0","0"
"0","0","0","0","0","0","0","1.22","0","1.22"
"0","0","0","1.01","0","0","0","0","0","0"
"0","0","0","0","1.21","0","0","0","0","0"
"0","0","0","1.1","0","0","0","0","0","0"
"0","0","0","2.17","0","0","0","0","0","0"
"0","0","0","4.03","0","0","0","0","0","0"
"0","0","0","1.08","0","0","0","0","0","0"
"0","0","0","0","0","0","1.68","0","0","0"
"0","0","0","0","0","0","4.13","0","0","0"
"0","0","0","0","0","0","1.11","0","0","0"
"0","0","0","1.01","0","0","0","0","0","0"
"0","0","0","0","0","0","1.22","0","0","0"
"6.15","0","0","0","0","0","6.15","0","0","0"
"0","0","0","0","0","0","0","6.82","0","0"
"5.87","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","1.96","0"
"0","0","0","0","0","0","6.94","0","0","0"
"1.24","0","0","0","0","0","0","0","0","0"
"0","0","0","0","3.02","0","0","0","0","0"
"0","0","0","0","0","0","0","1.06","0","0"
"0","0","0","0","0","0","0","2.11","0","0"
"0","0","0","1.19","0","0","0","0","0","0"
"1.01","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","3.1","0","0"
"0","0","0","0","0","0","1.08","0","0","0"
"0","0","0","0","0","0","0","4.2","0","0"
"0","0","0","0","0","0","3.94","0","0","3.94"
"0","0","0","0","0","0","4.14","0","0","0"
"0","0","0","0","0","0","1.99","0","0","0"
"2.7","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","2.04","0","0","0"
"0","0","0","0","0","0","1.27","0","0","0"
"0","0","0","0","0","2.3","0","0","0","0"
"0","0","0","0","0","0","0","0","1.18","0"
"0","0","0","0","0","0","0","1.07","0","0"
"0","0","0","0","0","0","1.07","0","0","0"
"0","0","0","0","0","0","0","0","0","5.02"
"0","0","0","0","0","0","2.12","0","0","0"
"0","0","0","0","1.04","0","0","0","0","0"
"0","0","0","0","0","0","1.01","0","0","0"
"0","0","0","0","0","0","0","1.01","0","0"
"0","0","0","6.96","0","0","6.96","0","0","0"
"0","0","0","0","0","0","0","1.04","0","0"
"0","1.31","0","0","0","0","0","0","0","0"
"2.93","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","1","0","0","0","0"
"0","0","0","2.28","0","0","0","2.28","0","0"
"2.96","0","0","0","0","0","0","2.96","0","0"
"2.96","0","0","0","0","0","0","2.96","0","0"
"0","0","0","0","0","0","1.89","0","0","0"
"0","0","0","0","0","0","5.87","0","0","0"
"0","0","0","0","0","0","0","1.11","0","0"
"1.69","0","0","0","0","0","0","0","0","0"
"0","0","0","0","2.06","0","0","0","0","0"
"0","0","0","0","0","0","0","0","9.9","0"
"0","0","0","0","0","0","1.29","0","0","0"
"2.74","0","0","0","0","0","2.74","0","0","0"
"0","0","0","0","7.1","0","0","0","0","0"
"0","0","0","0","0","0","0","2.87","0","0"
"0","0","0","0","0","0","0","0","0","1.24"
"0","0","0","1.82","0","0","0","0","0","0"
"0","0","0","5.92","0","5.92","0","0","0","0"
"0","0","0","0","0","0","3.1","0","0","0"
"0","0","0","0","0","0","0","3.75","0","0"
"0","0","0","0","0","0","0","0","2.04","0"
"0","0","0","4.18","0","0","0","0","0","0"
"0","0","0","4.24","0","0","0","0","0","0"
"0","0","0","4.16","0","0","0","0","0","0"
"0","0","0","5.09","0","0","0","0","0","0"
"0","0","0","0","0","0","6.15","0","0","0"
"0","0","0","0","0","0","0","0","1.09","0"
"0","0","0","0","0","0","0","2.84","0","0"
"0","0","0","0","0","0","0","5.07","0","0"
"0","0","0","2.2","0","0","2.2","0","0","2.2"
"0","0","0","0","0","0","1.84","0","0","0"
"0","0","0","0","0","0","0","0","3.04","0"
"4.91","0","0","0","0","0","0","0","0","0"
"0","0","0","0","1.12","0","0","0","0","0"
"0","0","0","0","0","0","0","2.01","0","0"
"0","0","0","0","0","0","3.91","0","0","3.91"
"0","0","0","0","0","0","0","0","1.03","0"
"7.1","0","0","0","0","0","0","7.1","0","0"
"0","0","0","0","0","0","0","11.19","0","0"
"0","0","0","0","0","5.96","0","0","0","0"
"3.22","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","4.21","4.21","0"
"0","0","0","1.71","0","0","0","0","0","0"
"0","0","0","0","0","0","1.66","0","0","0"
"0","0","0","6.36","0","0","6.36","0","0","0"
"0","0","0","0","0","0","0","5.38","0","0"
"0","0","0","0","0","0","1.31","0","0","0"
"0","0","0","0","0","0","7.18","0","0","7.18"
"1.99","0","0","0","0","0","0","0","0","0"
"0","0","0","1.17","0","1.17","0","0","0","0"
